Name,Score,Genres,Type,Episodes,Duration,Popularity,Members,summary,embedding,weighted_score,English name,Name_cleaned,English_name_cleaned
Mamotte! Lollipop,6.68,"Adventure, Comedy, Magic, Romance, Shoujo",TV,13,25 min. per ep.,3660,20070,"Genre: Adventure, Comedy, Magic, Romance, Shoujo and the synopsis is Nina, thinking it was a lolly, swallows an object called ""Crystal Pearl"". But the candy turns out to be a test for the magicians. To retrieve the crystal, a special medicine has to be made so now Zero and Ichii, the magicians, have to protect her from others while waiting for the medicine to be completed. (Source: ANN, edited)","[[ 0.02244631 -0.01827087 -0.00101976 ...  0.00442144 -0.01456084
  -0.02835043]]",10038.33996361425,Save Me! Lollipop,mamotte lollipop,save me lollipop
Kirarin☆Revolution,7.07,"Comedy, Drama, Romance, Shoujo",TV,153,22 min. per ep.,3283,24967,"Genre: Comedy, Drama, Romance, Shoujo and the synopsis is Kirari Tsukishima, a gluttonous 14-year-old beauty, is a girl who does not care about idols and the entertainment world because her mind is occupied by food. Her obsession with food only causes her to be clueless about love. One day, after saving a turtle that is stranded in a tree, Kirari meets with a handsome and gentle boy named Seiji, who gives her ticket to a SHIPS (a popular idol group) concert to show his gratitude for her saving his pet. Kirari then storms off to the concert and runs into another boy, who tears up her ticket and warns her to stay away from Seiji because she and Seiji live in different worlds. The outraged Kirari then sneaks into the concert, only to discover that Seiji and the boy who tore her ticket, named Hiroto, are actually members of SHIPS. Finally understanding the meaning of ""different worlds"" (Seiji is a popular idol while she is an average middle school student), Kirari refuses to give up. Filled with determination to be with Seiji, she declares that she will also become an idol. (Source: Wikipedia)","[[ 0.00949687 -0.01964006 -0.00923307 ... -0.0039999  -0.03608812
  -0.01561708]]",12487.034527992531,Kirarin Revolution,kirarin☆revolution,kirarin revolution
Black Lagoon: The Second Barrage,8.19,"Action, Seinen",TV,12,24 min. per ep.,350,380831,"Genre: Action, Seinen and the synopsis is okurou ""Rock"" Okajima has joined the Lagoon Company, a pirate mercenary group which operates out of Roanapur, Thailand. Despite his initial protests, this filthy slum of depraved souls and merciless criminals now serves as the former salaryman's home. Stranded, with nothing left of his past life but the clothes on his back and his inner morality, Rock is forced to perform jobs alongside the other members of the Lagoon crew. Berated for his lack of spine as he wades through the underbelly of society, he must decide whether to continue on amidst the gunfire and ruthlessness or risk everything he has in an attempt to be free. Whether he chooses the comfort of a familiar land or the freedom of being an outlaw, his decision will have lasting consequences on the crew who gave him a home.","[[ 0.00544146 -0.03334869  0.00337089 ... -0.0143962   0.00873516
   0.00451168]]",190419.579242508,Black Lagoon:The Second Barrage,black lagoon the second barrage,black lagoonthe second barrage
Black Jack,7.74,"Drama, Mystery, Psychological, Thriller",OVA,12,50 min. per ep.,2975,30073,"Genre: Drama, Mystery, Psychological, Thriller and the synopsis is Kuroo Hazama, also known as ""Black Jack,"" is a legend in the medical world. Famous for being one of the best, as well as not having a license, Hazama and his assistant Pinoko save countless lives that other doctors cannot... for a price; an exorbitant price, in fact, which causes many to view the genius as greedy and heartless. Despite these claims, however, none can deny his skill and the lengths that he will go to treat his patients. This dark medical drama tells the story of the ominous and mysterious world of underground medicine as Black Jack risks his life to cure some of the most bizarre diseases imaginable, even if it means breaking every law in the process.","[[-0.00515119 -0.01832125  0.01293772 ...  0.00940623 -0.01236684
  -0.01943645]]",15040.368661481572,Black Jack,black jack,black jack
Pokemon Crystal: Raikou Ikazuchi no Densetsu,6.87,"Action, Adventure, Comedy, Fantasy, Kids",Special,1,1 hr. 9 min.,3601,20621,"Genre: Action, Adventure, Comedy, Fantasy, Kids and the synopsis is Kenta, a Pokemon master in the making, meets up with his childhood friend, Marina, at a Pokemon Center, to see how their skills have developed. Their battle is interrupted by a thunderstorm and the arrival of Bashou and Buson, two Roketto-Dan members using the Crystal System (which attracts Electric-type Pokemon). Their ultimate goal is to, under the guidance of Shiranui-hakase, bring Pokemon back to Sakaki. Kenta and Marina stumble upon this plan, and they try to stop it, but things get more difficult when the legendary Pokemon Raikou is captured. (Source: ANN)","[[ 0.01848415 -0.01142716 -0.00681933 ...  0.00083715 -0.02340885
  -0.03134383]]",10313.934771349026,Unknown,pokemon crystal raikou ikazuchi no densetsu,unknown
Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,7.31,"Action, Adventure, Kids, Drama, Fantasy",Movie,1,1 hr. 40 min.,1560,88136,"Genre: Action, Adventure, Kids, Drama, Fantasy and the synopsis is This is the 8th Movie. In the town of Lohta, a festival is thrown praising ""Aaron the Wave Leader Hero"" who, according to the legend passed down through the town's generations, stopped a war centuries ago by using the power of ""the Tree of the World's Origin."" Satoshi and Pikachu participate in a battle to decide this year's hero and after their victory, they are chosen as the ""Wave Leader Hero."" A grand dance party is held in the castle to celebrate the victor, but suddenly the phantom Pokemon Mew appears and takes Pikachu. Soon afterwards, the Wave Leader Pokemon ""Lucario"" is freed from his centuries-long seal and meets Satoshi. Satoshi must solve the various mysteries of where Pikachu is, what Mew's after, what the secret of the legend of the Wave Leader is and how it ties in with Lucario's hidden past as he makes his way to ""the Tree of the World's Origin"" with Lucario. (Source: ANN)","[[ 0.01168454 -0.02561251 -0.02160638 ... -0.0030914  -0.00274754
  -0.05288089]]",44071.65345168908,Pokemon:Lucario and the Mystery of Mew,pokemon movie  mew to hadou no yuusha lucario,pokemonlucario and the mystery of mew
Pokemon: Senritsu no Mirage Pokemon,6.48,"Adventure, Comedy, Fantasy, Kids",ONA,1,42 min.,3348,23837,"Genre: Adventure, Comedy, Fantasy, Kids and the synopsis is Dr. Yung, an enigmatic Pokémon scientist, has developed a new Mirage system that uses computer data to resurrect extinct Pokémon, like Kabutops and Armaldo. Professor Oak, Ash and his companions show up at the Mirage Mansion at Dr. Yung's invitation, and watch a demonstration of the machine's capabilities. In the middle of a battle between Dr. Yung's Mirage Pokémon and Ash, the machine goes haywire and a Mirage Aerodactyl swoops in and kidnaps Dr. Yung. A man calling himself ""The Mirage Master"" appears and announces to everyone that the Mirage System can be used to create Pokémon with absolutely no weaknesses. Ash, Misty, and Professor Oak struggle to stop the madman and escape with their lives. (Source: ANN)","[[-0.00732312 -0.02216834 -0.01558815 ...  0.00782061 -0.0259493
  -0.03234376]]",11921.74017720228,Pokemon:The Mastermind of Mirage Pokemon,pokemon senritsu no mirage pokemon,pokemonthe mastermind of mirage pokemon
Kanon (2006),8.01,"Slice of Life, Supernatural, Drama, Romance",TV,24,24 min. per ep.,621,232486,"Genre: Slice of Life, Supernatural, Drama, Romance and the synopsis is s a young child, Aizawa Yuuichi had often visited his cousin in the city; however, something drastic happened to keep him away for seven long years. Now, Yuuichi returns, his memories of those days are simply gone. Settling into the wintry town, Yuuichi comes across several young girls, all of whom are connected to his past. As he befriends them and continues to interact with them, the long forgotten memories from his childhood begin to resurface...","[[ 0.02021197 -0.01645252 -0.00846204 ... -0.0121298  -0.01582376
  -0.02657815]]",116246.99708213418,Kanon,kanon,kanon
Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!,7.19,"Slice of Life, Comedy, Romance, Ecchi, Fantasy",OVA,1,23 min.,2872,32074,"Genre: Slice of Life, Comedy, Romance, Ecchi, Fantasy and the synopsis is Yuji and Shana's class go on a trip to see various temples and shrines, followed by a trip to a hot springs resort. During the trip, Matake Ogata tries to tell Eita Tanaka her feelings for him, but various complications and hijinks occur that prevent her from doing so.","[[ 0.02079097 -0.02473087 -0.01597258 ... -0.00517112 -0.0094571
  -0.04163518]]",16040.594308911695,Unknown,shakugan no shana koi to onsen no kougai gakushuu,unknown
Suki na Mono wa Suki Dakara Shou ga Nai!!,6.71,"Comedy, Drama, Romance, Shoujo, Shounen Ai, Slice of Life",TV,12,24 min. per ep.,2447,43223,"Genre: Comedy, Drama, Romance, Shoujo, Shounen Ai, Slice of Life and the synopsis is Hashiba Sora has fallen from a 4th story window and has lost all of his memories. When Fujimori Sunao comes to his school as his new room mate, Fujimori tells Hashiba that he is called Ran. Fujimori and Hashiba both have a split personality which they developed in their youth. Their split personalities, Yoru and Ran, are deeply in love. Even though it creeps Fujimori and Hashiba out what their other selves do with each other at night, they also start to fall for each other. Because of their relationship, Hashiba Sora finds out a lot of shocking facts about their youth.","[[ 0.00712613 -0.01972146 -0.01624595 ... -0.01639413 -0.00657719
  -0.03030962]]",21614.854901137307,Sukisho,suki na mono wa suki dakara shou ga nai,sukisho
Ai Tenshi Densetsu Wedding Peach,6.69,"Adventure, Magic, Comedy, Romance, Shoujo",TV,51,24 min. per ep.,3787,18357,"Genre: Adventure, Magic, Comedy, Romance, Shoujo and the synopsis is There are three known worlds—the human world, the angel world, and the devil world. The evil queen Raindevilla yearns to destroy the angel world with help or her many devil minions. The goddess Aphrodite sends an angel to the human world, Limone, to summon three love angels in the form of three school girls, Momoko Hanasaki, Yuri Tanima, and Hinagiku Tamano, who together become Angel Lilly, Angel Daisy, and Wedding Peach. The three girls must fight to overcome the evils of the devils, as well as their own lives, and restore peace to the angel world by gathering all pieces of the Sacred Four Somethings (or Saint Something Four) and defeat the evil queen once and for all. (Source: ANN)","[[ 0.01277348 -0.03120943 -0.01680305 ...  0.00918505 -0.00823034
  -0.01331339]]",9181.844955238745,Wedding Peach,ai tenshi densetsu wedding peach,wedding peach
Death Note,8.63,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",TV,37,23 min. per ep.,1,2589552,"Genre: Mystery, Police, Psychological, Supernatural, Thriller, Shounen and the synopsis is shinigami, as a god of death, can kill any person—provided they see their victim's face and write their victim's name in a notebook called a Death Note. One day, Ryuk, bored by the shinigami lifestyle and interested in seeing how a human would use a Death Note, drops one into the human realm. High school student and prodigy Light Yagami stumbles upon the Death Note and—since he deplores the state of the world—tests the deadly notebook by writing a criminal's name in it. When the criminal dies immediately following his experiment with the Death Note, Light is greatly surprised and quickly recognizes how devastating the power that has fallen into his hands could be. With this divine capability, Light decides to extinguish all criminals in order to build a new world where crime does not exist and people worship him as a god. Police, however, quickly discover that a serial killer is targeting criminals and, consequently, try to apprehend the culprit. To do this, the Japanese investigators count on the assistance of the best detective in the world: a young and eccentric man known only by the name of L.","[[ 0.01110439 -0.01560336 -0.00173262 ... -0.00338073 -0.03370326
  -0.02345705]]",1294779.4416380757,Death Note,death note,death note
Busou Renkin,7.35,"Action, Fantasy, Supernatural, Comedy, School, Shounen",TV,26,24 min. per ep.,974,152465,"Genre: Action, Fantasy, Supernatural, Comedy, School, Shounen and the synopsis is The story begins when high school student Kazuki Muto is killed one night saving a mysterious girl from a monster, only to wake up in his school dorm, believing it to have been a dream; however, he soon finds out that dream wasn't a dream at all when a giant serpentine monster attacks him and his sister. Tokiko Tsumura, the girl he saved, explains that the monster is a homunculus. Kazuki had been attacked and killed by it when he was rescuing her; however, she, feeling responsible for him, revived him by placing a Kakugane medallion in his chest, serving as a replacement heart. The Kakugane, as Tokiko explains, is an alchemical device that, when activated, takes a certain form based on the Kakugane's user, forming a unique Buso Renkin. The Buso Renkin is the only thing that can destroy a homunculus monster. Using this, Kazuki creates his own Buso Renkin (the ""Sunlight Heart,"" a huge lance). Along with Tokiko and her own Buso Renkin (the ""Valkyrie Skirt,"" an execution scythe), Kazuki joins the fight against the homunculi and their master.","[[ 0.00172115 -0.00961538 -0.00518377 ... -0.00598674 -0.01183796
  -0.03680814]]",76236.17237869238,Buso Renkin,busou renkin,buso renkin
Pumpkin Scissors,7.18,"Action, Comedy, Drama, Military",TV,24,23 min. per ep.,2710,35656,"Genre: Action, Comedy, Drama, Military and the synopsis is Three years ago, the long war between the Royal Empire and the Republic of Frost came to an end. With both nations a long way from recovery, a passionate young woman named Alice L. Malvin leads the Pumpkin Scissors, a unit of the imperial army specializing in war relief. During a mission to assist a village occupied by renegade soldiers, Alice meets Randal Oland, a scarred former soldier with a sordid past and kind heart. Encouraged by the efforts of the Pumpkin Scissors, he joins the team on their mission. During the assault, however, Randal enters a trance-like state prompted by a mysterious blue lantern. As a result, he acquires monstrous strength and decimates the enemy forces. Despite having witnessed Randal's disturbing transformation, Alice invites him to join her squandrant, confident that his gentle nature will prevail and make him a perfect fit for the Pumpkin Scissors.","[[-0.00509638 -0.04721291  0.00093342 ... -0.00185823  0.00710947
  -0.01611846]]",17831.589281105837,Unknown,pumpkin scissors,unknown
Yoake Mae yori Ruriiro na: Crescent Love,7.14,"Comedy, Romance, School, Sci-Fi",TV,12,23 min. per ep.,2797,33448,"Genre: Comedy, Romance, School, Sci-Fi and the synopsis is The moon and the earth are linked by a single contact point, ""Mitsuru ga Sakichau Ouren Rakuniushi"" where Tatsuya lives under the supervision of the Sphere Kingdom (Moon Kingdom)'s Princess Feena Fam Earthlight who is coming to stay at his home. (Source: ANN)","[[ 0.02783278 -0.02620942 -0.01402112 ... -0.00376711 -0.01830208
  -0.04260013]]",16727.569355329448,Brighter Than the Dawning Blue,yoake mae yori ruriiro na crescent love,brighter than the dawning blue
Negima!?,7.02,"Adventure, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Fantasy, School",TV,26,23 min. per ep.,1707,77508,"Genre: Adventure, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Fantasy, School and the synopsis is make of the Negima anime with its own original story. Wizard Negi Springfield may be a boy, but he has a man-sized job to do! Fresh from the Academy of Magic, Negi continues his training as an instructor at Mahora Academy in Japan. But before he can get his Masters in magic, the 31 schoolgirls of Class 3-A are gonna keep him up all night cramming for a final exam in will power. Temptation aside, Negi has more on his syllabus than flirting and spells. Darkness is closing in, and Negi is gonna need help from his lovely student bodies to drive the ghouls from their school. These girls want to prove that they're the best in class, and extra credit is available to the cuties that aren't afraid of after-hours phantom fighting! (Source: DVD case)","[[ 0.00953031 -0.02493251 -0.03044971 ... -0.01331354 -0.00420687
  -0.02737584]]",38757.509200225904,Negima!? Magister Negi Magi,negima,negima magister negi magi
Asatte no Houkou.,7.07,"Supernatural, Drama",TV,12,25 min. per ep.,3499,21891,"Genre: Supernatural, Drama and the synopsis is out to enter junior high school, Karada Iokawa is a cheerful and reliable girl, who hates being treated as a child more than anything. After her parents' deaths, her older brother, Hiro, comes back from studying abroad to take care of her. His ex-girlfriend Shouko Nogami, a composed yet sometimes childish and stubborn young woman, follows him to Japan in order to find out why he left her. Between the two girls, the atmosphere is tense, which eventually leads to Shouko calling Karada childish. Later, Karada stands before a shrine praying to grow up. Little does she know that the shrine wishing stone would grant her wish. As Karada grows older, at the same time, Shouko, who happens to be nearby, finds herself a child once again. With their ages now reversed, Shouko and Karada must come to terms with one another and ultimately themselves.","[[ 0.0216679  -0.01346182  0.00015556 ...  0.00690244 -0.02043287
  -0.01308445]]",10949.034557069963,Living for the Day After Tomorrow,asatte no houkou,living for the day after tomorrow
Tokimeki Memorial: Only Love,7.07,"Comedy, Harem, Romance, School",TV,25,24 min. per ep.,2820,32936,"Genre: Comedy, Harem, Romance, School and the synopsis is oba Riku has just transferred to a new high school because of his father's job, and things aren't quite what he expected. The headmaster's secretary controls the school while espousing the virtues of academic freedom, the teachers are even stranger than normal teachers, and half the student body is walking around with animal ears on. On his very first day, Riku is unfortunate enough to find himself at the center of the student council's latest event, which has him running for his life. All this on top of the normal high school rigour of popularity contests, crushes, and homework makes it unsure whether Riku will be able to survive this new school. (Source: ANN)","[[ 0.01736883 -0.02602086 -0.02872786 ... -0.01692846 -0.01016096
  -0.02067163]]",16471.534450695817,Tokimeki Memorial,tokimeki memorial only love,tokimeki memorial
Kikoushi Enma,7.13,"Horror, Demons, Supernatural, Magic, Ecchi, Fantasy, Seinen",OVA,4,40 min. per ep.,3880,17516,"Genre: Horror, Demons, Supernatural, Magic, Ecchi, Fantasy, Seinen and the synopsis is Enma is a character created by the genius manga artist Go Nagai. Now, the popular character makes his appearance in an alluring Japanese horror anime for adults. It's a hair-raising erotic suspense in which Enma takes on complicated and gruesome incidents caused by demons who lurk in the darkness. But humans have lit up the darkness of the night with neon lights and turned their world into one that never sleeps, so demons now lurk in the ""darkness of the human heart."" Unfulfilled hearts, suppressed hearts, despair,...such darkness of the heart is the place they lurk. Enma is the Demon Prince of the Underworld, a demon ""Born of Fire."" His mission is to take back or destroy demons that have escaped to the human world from the Underworld. Along with his partner, Princess Yukihime, ""Born of Ice,"" and the monster, Kapaeru, Enma sets up ""Enma's Detective Agency."" Tonight, like any other night, they will roam the sleepless city. Horrific incidents that could not possibly be human acts occur one after another. The stench of evil lingers at the scene... Enma's fire rips through the darkness! (Source: Bandai Entertainment)","[[ 0.02218319 -0.01984742 -0.00935626 ...  0.00416677  0.00636068
  -0.03330778]]",8761.564544299166,Demon Prince Enma,kikoushi enma,demon prince enma
Shounen Onmyouji,7.59,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo",TV,26,23 min. per ep.,2293,48538,"Genre: Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo and the synopsis is asahiro is the grandson of the great onmyouji, Abe no Seimei. However, he lost his sixth sense that enables him to see supernatural beings, which is very important for an onmyouji. Thus, he is left with no choice but to try and pick a different career. But one day, a strange mononoke appears, which he names Mokkun, who shows him his true potential powers after fighting a demon. With the assistance of Mokkun, his quest to become the greatest onmyouji begins.","[[-0.00822711 -0.02618564 -0.01014411 ... -0.00301528  0.00409359
  -0.00877958]]",24272.79350199248,Shonen Onmyoji,shounen onmyouji,shonen onmyoji
Shijou Saikyou no Deshi Kenichi,8.11,"Action, Comedy, Martial Arts, School, Shounen",TV,50,25 min. per ep.,597,242355,"Genre: Action, Comedy, Martial Arts, School, Shounen and the synopsis is ""Weak Legs"" Kenichi Shirahama would rather spend his time reading self improvement books than fighting. However, when he finally works up the courage to become strong and join his school's karate club, he is coerced into fighting a bullying upperclassman who is intent on getting him kicked out of the club. He is about to give it all up until he falls for his mysterious new classmate, Miu Furinji. In order to face this challenge, he undergoes rigorous training at the dojo she lives at, Ryouzanpaku. Some initial training by the masters there allow him to defeat his upperclassman, however his fighting prowess brings him to the attention of the powerful gang of delinquents, Ragnarok. Wishing to protect the things he loves and determined to have the strength to face the increasing adversity, he must learn various martial arts from the dojo's resident masters, taking Karate, Muay Thai, Ju Jitsu and Chinese Martial Arts and combining them to create his own fighting style!","[[-0.00111121 -0.02598209 -0.0251235  ... -0.03077695  0.0035268
  -0.02441022]]",121181.54616529302,KenIchi:The Mightiest Disciple,shijou saikyou no deshi kenichi,kenichithe mightiest disciple
Yamato Nadeshiko Shichihenge♥,7.76,"Comedy, Shoujo",TV,25,24 min. per ep.,1104,133452,"Genre: Comedy, Shoujo and the synopsis is Ever since her crush rejected her by insulting her appearance, Sunako Nakahara has been a shut-in with a hatred for beauty, embracing all things morbid and occult-related. She is sent to live in her aunt's mansion which, to her dismay, she'll share with four exceedingly handsome boys her age. Furthermore, her flighty aunt has made a deal with these boys that in exchange for living there rent-free, they are to turn Sunako into a proper lady by the time she returns from a trip around the world. Thus begins Sunako's hectic life with abrasive Kyohei Takano, ladies' man Ranmaru Morii, calm Takenaga Oda, and friendly Yukinojo Toyama. As she interacts with them she finds them less obnoxious, and she may not be as much of an outcast as she thought.","[[ 0.00177751 -0.02560951  0.00900827 ...  0.0080625  -0.00308716
  -0.02131667]]",66729.8763423829,The Seven Metamorphoses of Yamato Nadeshiko,yamato nadeshiko shichihenge♥,the seven metamorphoses of yamato nadeshiko
Magic Knight Rayearth II,7.52,"Adventure, Drama, Fantasy, Magic, Mecha, Romance, Shoujo",TV,29,24 min. per ep.,3155,26978,"Genre: Adventure, Drama, Fantasy, Magic, Mecha, Romance, Shoujo and the synopsis is Soon after Hikaru, Umi, and Fuu return to Tokyo, the three of them meet at Tokyo Tower to talk. Hikaru says that she wishes they could return to Cephiro and do something good for the land that Princess Emeraude protected so dearly. Umi and Fuu agree. Suddenly, a light appears in the sky and they are transported to Cephiro. Clef explains to them that with no Pillar to keep Cephiro peaceful, it has fallen into chaos. Monsters are multiplying and the land is becoming desolate. All the remaining inhabitants of Cephiro have moved into a magical castle. Clef also tells the girls some alarming news; three other countries, Chizeta, Fahren, and Autozam are trying to invade Cephiro and take over the Pillar system for their own purposes. The girls must stop the invaders as well as the mysterious and evil Lady Debonair, who believes she is the rightful Pillar, all the while desperately hoping and searching for a new Pillar to make Cephiro into the beautiful land it once was. (Source: ANN)","[[ 0.01553034 -0.01878714 -0.03531336 ...  0.02294561 -0.02005218
  -0.02221889]]",13492.75899090633,Magic Knight Rayearth II,magic knight rayearth ii,magic knight rayearth ii
Pokemon Advanced Generation,7.09,"Action, Adventure, Comedy, Kids, Fantasy",TV,192,24 min. per ep.,1066,139284,"Genre: Action, Adventure, Comedy, Kids, Fantasy and the synopsis is fter participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering Contests, and other events on the way to the Houen League. (Source: ANN, edited)","[[ 0.02690317 -0.01616307 -0.02032949 ... -0.00475832 -0.0005981
  -0.02035594]]",69645.54348517001,Pokemon:Advanced,pokemon advanced generation,pokemonadvanced
Pokemon Diamond & Pearl,7.2,"Action, Adventure, Comedy, Kids, Fantasy",TV,191,23 min. per ep.,1371,102618,"Genre: Action, Adventure, Comedy, Kids, Fantasy and the synopsis is Following the end of Satoshi's Hoenn journey, he travels to the Sinnoh region for his next adventure en route to becoming a Pokémon Master. Immediately upon arrival, Team Rocket makes another attempt to snatch Pikachu, only for it to fail once again. However, Pikachu has fallen deep into a forest and it's up to Satoshi to find him! Along the way, he reunites with Takeshi—a Pokémon breeder with whom he has traveled through many regions—and meets his soon-to-be rival, Shinji, a power-hungry trainer who cares little for his Pokémons' feelings. Still in search for Pikachu, Satoshi notices a powerful electric attack in the distance and heads toward it to find Pikachu with Team Rocket and Hikari—a novice trainer aiming to be the top Pokémon coordinator. After foiling Team Rocket's plans, Satoshi reunites with Pikachu and Hikari joins the group. And thus, Ash and his friends begin their journey through the exciting land of Sinnoh.","[[ 0.02006449 -0.02158671 -0.01547157 ...  0.00304117 -0.00271638
  -0.03026076]]",51312.59852988019,Unknown,pokemon diamond & pearl,unknown
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8.14,"Military, Sci-Fi, Mystery, Police, Mecha, Seinen",Special,1,1 hr. 48 min.,1584,85769,"Genre: Military, Sci-Fi, Mystery, Police, Mecha, Seinen and the synopsis is .D. 2034. It has been two years since Motoko Kusanagi left Section 9. Togusa is now the new leader of the team, that has considerably increased its appointed personnel. The expanded new Section 9 confronts a rash of complicated incidents, and investigations reveal that an ultra-wizard hacker named the Puppeteer is behind the entire series of events. In the midst of all, Batou, who was stalking the case on a separate track, encounters Motoko. She goes away after saying, ""Stay away from the Solid State Society."" Batou is left with a doubt in his mind. Could Motoko be the Puppeteer? The series of intriguing incidents that Section 9 faces gradually link together almost artistically. Who is the Puppeteer? What will happen to Batou's relationship with Motoko? What is the full truth behind this carefully planned perfect crime? And what will the outcome be? Mysteries surround the Solid State Society... (Source: Production I.G.)","[[ 0.00455396 -0.02305525 -0.01555142 ... -0.00219372 -0.00630077
  -0.01160919]]",42888.566576443656,Ghost in the Shell:Stand Alone Complex - Solid State Society,koukaku kidoutai stand alone complex  solid state society,ghost in the shellstand alone complex  solid state society
Sumomomo Momomo: Chijou Saikyou no Yome,6.91,"Action, Comedy, Romance, Martial Arts, Seinen",TV,22,24 min. per ep.,2186,53105,"Genre: Action, Comedy, Romance, Martial Arts, Seinen and the synopsis is Koushi Inuzuka is a smart high school student who aims to become a public prosecutor. Unfortunately for our good guy, he was born into a martial arts family whose head (ie his father) only knows one language: violence. When Koushi was still a baby, his father made a pact with his biggest rival to marry Koushi to his opponent-turned-friend's daughter. The union of the two blood lines is supposed to bring forth Earth's strongest martial arts clan. Skip forward: Koushi is in high school, oblivious to the marriage arranged for him at his birth. Enter Momoko Kuzuryuu: sugar bomb, airhead, loli martial arts artist and Koushi's self-proclaimed bride (the strongest on Earth, no less). Her wish for sexual intercourse meets with Koushi's square refusal as he has absolutely no desire to get it on with someone who looks like she could be his little sister, not to mention that he doesn't have the foggiest idea who she actually is. Meanwhile, a war has broken out between the martial arts families. For Koushi, this means that numerous fighters are out to challenge/assassinate him. As if that weren't bad enough, our protagonist also has a fight phobia due to a traumatic incident that took place in his childhood. Now it's up to Momoko and her superhuman fighting skills to protect her ""husband."" Will the two sweethearts survive the trials and tribulations ahead of them? More importantly, will Momoko get her way receiving a baby from Koushi? (Source: Kotonoha)","[[ 0.010042   -0.0187128  -0.01766424 ... -0.00387161 -0.00933623
  -0.01035119]]",26555.954557449695,Unknown,sumomomo momomo chijou saikyou no yome,unknown
Otome wa Boku ni Koishiteru,7.06,"Comedy, Drama, Romance, School",TV,12,24 min. per ep.,2106,55764,"Genre: Comedy, Drama, Romance, School and the synopsis is zuho can't believe his ears when Grandpa's will is read out. Grandpa's final wish is for Mizuho to attend the same academy as Mizuho's mother. The catch is it's an all-girls school. With the help of friend Mariya however, he gets a makeover good enough to fool everyone at the academy. (Source: ANN)","[[ 0.01155105 -0.02031888 -0.01643804 ...  0.01099571  0.00660853
  -0.02422585]]",27885.529282330437,Otoboku:Maidens are Falling for Me!,otome wa boku ni koishiteru,otobokumaidens are falling for me
Happiness!,6.41,"Comedy, Harem, Magic, Romance, School",TV,12,25 min. per ep.,2865,32261,"Genre: Comedy, Harem, Magic, Romance, School and the synopsis is Kamizaka Haruhi having been rescued when she was young by a mage, longed to be a mage herself, so she enrolled into a special school that allows regular and magic classes into two different sections. Together with her rival/best friend, Hiiragi Anri, they study magic together while she is searching for the boy that saved her years ago, to give him a Valentines' chocolate. (Source: ANN)","[[ 0.00850348 -0.02155849 -0.02092669 ... -0.00518655 -0.01542103
  -0.00939316]]",16133.70529571047,Happiness!,happiness,happiness
Ghost Hunt,7.81,"Mystery, Comedy, Horror, Supernatural, Shoujo",TV,25,25 min. per ep.,766,194354,"Genre: Mystery, Comedy, Horror, Supernatural, Shoujo and the synopsis is hile at school, Taniyama Mai and her friends like to exchange ghost stories. Apparently, there is an abandoned school building on their campus that is the center of many ghost stories. During the story, they are interrupted by a mysterious male figure. The person turns out to be Shibuya Kazuya, a 17-year-old who is president of the Shibuya Psychic Research Company. He was called by the principal to investigate the stories surrounding the abandoned school building. The next day, on the way to school, Mai passes the school building in question. While examining a strange camera she spotted inside, she gets surprised by Kazuya's assistant. Unknowingly interfering with the investigation, Mai breaks the camera and Kazuya's assistant gets injured. Kazuya forcefully hires Mai in order to pay for the camera and replace his injured assistant. From that point on, Mai begins to learn about the paranormal world and the profession of ghost hunting.","[[ 0.00410155 -0.00729605 -0.02014028 ... -0.00479341 -0.00643205
  -0.02831027]]",97180.89950828065,Ghost Hunt,ghost hunt,ghost hunt
Code Geass: Hangyaku no Lelouch,8.72,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",TV,25,24 min. per ep.,15,1583882,"Genre: Action, Military, Sci-Fi, Super Power, Drama, Mecha, School and the synopsis is In the year 2010, the Holy Empire of Britannia is establishing itself as a dominant military nation, starting with the conquest of Japan. Renamed to Area 11 after its swift defeat, Japan has seen significant resistance against these tyrants in an attempt to regain independence. Lelouch Lamperouge, a Britannian student, unfortunately finds himself caught in a crossfire between the Britannian and the Area 11 rebel armed forces. He is able to escape, however, thanks to the timely appearance of a mysterious girl named C.C., who bestows upon him Geass, the ""Power of Kings."" Realizing the vast potential of his newfound ""power of absolute obedience,"" Lelouch embarks upon a perilous journey as the masked vigilante known as Zero, leading a merciless onslaught against Britannia in order to get revenge once and for all.","[[-0.00579931 -0.01350346 -0.0244367  ...  0.00831083 -0.00207281
  -0.02323639]]",791945.0207254608,Code Geass:Lelouch of the Rebellion,code geass hangyaku no lelouch,code geasslelouch of the rebellion
